🚀 数据加载：15 只，2022-06-01 ~ 2026-08-27 ...
00:20:08 [INFO] core.data_loader.freestockdb: 🔗 已连接到 free-stockdb 本地服务: 127.0.0.1:7899
00:20:08 [INFO] core.data_loader.freestockdb: 📊 批量加载: 15 只股票，1031 个交易日
00:20:08 [INFO] core.data_loader.freestockdb: ✅ 成功加载 15 只股票，1031 个交易日
00:20:08 [INFO] core.data_loader.freestockdb: 📅 日期范围: 2022-06-01 00:00:00 至 2026-08-27 00:00:00
✅ 数据加载完成：1031 交易日，耗时 0.6s
🎯 模式: 标准 风控=0.3 止损=None
📈 趋势线过滤器已启用: multi（multi 阈值=2）
00:20:15 [INFO] core.backtest.pipeline: 开始回测: 2022-06-02 至 2026-08-27
00:20:15 [INFO] core.backtest.pipeline: 初始资金: 500,000.00 元
00:20:15 [INFO] core.backtest.pattern_mixin: 📚 形态信号索引预加载完成：106602 条 / 52852 个(股票×日期)组合

======================================================================
📊 完整交易汇总（共 2051 笔）
  策略：SimpleStrategy
======================================================================
日期           股票       操作           价格     数量            总资产      总仓位
2022-12-07   002309   SELL       4.66    200     531,299.00    89.9%
2022-12-08   002918   SELL      18.34    300     525,114.00    88.7%
2022-12-08   002309   BUY        4.60   1400     525,114.00    90.0%
2022-12-09   002918   SELL      19.50    100     521,316.00    89.5%
2022-12-09   300570   BUY       14.81    100     521,316.00    89.8%
2022-12-09   002309   BUY        4.53    200     521,316.00    90.0%
2022-12-12   002918   SELL      19.25    100     528,779.00    89.7%
2022-12-12   002428   BUY        9.71    100     528,779.00    89.9%
2022-12-13   002428   BUY        9.67    100     522,715.00    90.0%
2022-12-19   002428   BUY        9.31    100     510,851.00    89.9%
2022-12-22   002792   BUY        7.93    100     500,449.00    89.9%
2022-12-22   000566   BUY        4.42    100     500,449.00    90.0%
2022-12-23   002156   SELL      17.15   6100     493,554.00    68.6%
2022-12-23   000566   BUY        4.44    200     493,554.00    68.8%
2022-12-23   002281   BUY       15.33    800     493,554.00    71.3%
2022-12-23   002735   BUY       14.57    800     493,554.00    73.7%
2022-12-23   002428   BUY        9.00   1400     493,554.00    76.2%
2022-12-23   002792   BUY        7.93   1400     493,554.00    78.5%
2022-12-23   002918   BUY       18.92    500     493,554.00    80.4%
2022-12-23   300293   BUY        8.62   1500     493,554.00    83.0%
2022-12-26   000566   BUY        4.41    500     498,106.00    83.6%
2022-12-26   002156   BUY       17.60    600     498,106.00    85.7%
2022-12-26   002918   BUY       18.24    600     498,106.00    87.9%
2022-12-27   000566   BUY        4.28    800     494,660.00    88.5%
2022-12-27   002156   BUY       17.69    400     494,660.00    90.0%
2022-12-28   000566   BUY        4.21    100     487,052.00    89.9%
2022-12-29   002156   SELL      16.61   1000     485,925.00    86.5%
2022-12-29   002918   BUY       16.72    600     485,925.00    88.5%
2022-12-30   002918   SELL      16.73   1800     488,052.00    82.4%
2022-12-30   002156   BUY       16.35    700     488,052.00    84.7%
2023-01-03   002735   BUY       15.41   1200     500,532.00    88.8%
2023-01-03   600487   BUY       15.72    300     500,532.00    89.8%
2023-01-05   000566   BUY        4.29    200     502,335.00    90.0%
2023-01-06   600487   SELL      15.62   2800     500,495.00    81.2%
2023-01-06   000566   BUY        4.23    500     500,495.00    81.6%
2023-01-06   300570   BUY       14.79    600     500,495.00    83.4%
2023-01-06   300620   BUY       27.14    300     500,495.00    85.0%
2023-01-09   600702   BUY      159.33    100     502,044.00    88.2%
2023-01-09   300620   BUY       26.87    300     502,044.00    89.8%
2023-01-09   000566   BUY        4.21    100     502,044.00    89.9%
2023-01-10   300502   SELL       9.00   1200     504,075.00    87.8%
2023-01-10   002792   SELL       8.32   4500     504,075.00    80.4%
2023-01-10   000566   BUY        4.23    200     504,075.00    80.6%
2023-01-10   002156   BUY       17.57    700     504,075.00    83.0%
2023-01-10   002428   BUY       10.00   1000     504,075.00    85.0%
2023-01-10   300570   BUY       14.71    900     504,075.00    87.6%
2023-01-10   300293   BUY        8.79   1300     504,075.00    89.9%
2023-01-11   002428   BUY        9.88    100     500,225.00    90.0%
2023-01-12   300570   SELL      14.81   2300     499,429.00    83.2%
2023-01-12   002156   BUY       17.29    600     499,429.00    85.2%
2023-01-12   002792   BUY        8.33   1500     499,429.00    87.7%
2023-01-12   300293   BUY        8.97   1100     499,429.00    89.7%
2023-01-12   300502   BUY        8.92    100     499,429.00    89.9%
2023-01-17   300293   SELL       8.92   9400     505,398.00    73.4%
2023-01-17   002309   SELL       4.17   1600     505,398.00    72.1%
2023-01-17   002156   BUY       17.65    600     505,398.00    74.2%
2023-01-17   002281   BUY       16.35    800     505,398.00    76.8%
2023-01-17   002428   BUY       10.05   1000     505,398.00    78.8%
2023-01-17   002735   BUY       15.80    600     505,398.00    80.7%
2023-01-17   002792   BUY        8.76   1200     505,398.00    82.7%
2023-01-17   002918   BUY       19.82    500     505,398.00    84.7%
2023-01-17   300502   BUY        9.10   1300     505,398.00    87.0%
2023-01-17   600487   BUY       15.16    800     505,398.00    89.4%
2023-01-18   002156   BUY       17.65    100     506,858.00    89.8%
