date,total_asset,cash,market_value,frozen_cash,daily_return,cum_return,max_drawdown
2025-05-13,462108.0,462108.0,0.0,413597.0,0.0,-0.07578399999999996,-0.07801000000000002
2025-05-14,462108.0,462108.0,0.0,413597.0,0.0,-0.07578399999999996,-0.07801000000000002
2025-05-15,462108.0,462108.0,0.0,413597.0,0.0,-0.07578399999999996,-0.07801000000000002
2025-05-16,462108.0,462108.0,0.0,413597.0,0.0,-0.07578399999999996,-0.07801000000000002
2025-05-19,462108.0,462108.0,0.0,413597.0,0.0,-0.07578399999999996,-0.07801000000000002
2025-05-20,462108.0,462108.0,0.0,413597.0,0.0,-0.07578399999999996,-0.07801000000000002
2025-05-21,462108.0,462108.0,0.0,413597.0,0.0,-0.07578399999999996,-0.07801000000000002
2025-05-22,462108.0,462108.0,0.0,413597.0,0.0,-0.07578399999999996,-0.07801000000000002
2025-05-23,462108.0,425112.0,36996.0,450593.0,0.0,-0.07578399999999996,-0.07801000000000002
2025-05-26,462432.0,425112.0,37320.0,450593.0,0.000701134799657277,-0.07513599999999998,-0.07736200000000004
2025-05-27,461868.0,100434.0,361434.0,775271.0,-0.0012196387793231844,-0.076264,-0.07849000000000006
2025-05-28,461632.0,100434.0,361198.0,775271.0,-0.0005109685018230836,-0.07673600000000003,-0.07896200000000009
2025-05-29,467886.0,100434.0,367452.0,775271.0,0.01354758768889508,-0.06422799999999995,-0.06645400000000001
2025-05-30,462930.0,97362.0,365568.0,778343.0,-0.010592323771175027,-0.07413999999999998,-0.07636600000000004
2025-06-03,463168.0,97362.0,365806.0,778343.0,0.000514116605102366,-0.07366399999999995,-0.07589000000000001
2025-06-04,469118.0,97362.0,371756.0,778343.0,0.012846310625949986,-0.06176400000000004,-0.0639900000000001
2025-06-05,476020.0,90998.0,385022.0,784707.0,0.014712716203599152,-0.04796,-0.050186000000000064
2025-06-06,477351.0,90998.0,386353.0,784707.0,0.0027961010041595014,-0.04529799999999995,-0.04752400000000001
2025-06-09,478924.0,90998.0,387926.0,784707.0,0.003295269099677256,-0.04215199999999997,-0.04437800000000003
2025-06-10,473963.0,90998.0,382965.0,784707.0,-0.010358637278566118,-0.052073999999999954,-0.054300000000000015
2025-06-11,474689.0,474689.0,0.0,784707.0,0.0015317651377850794,-0.050621999999999945,-0.052848000000000006
2025-06-12,474689.0,474689.0,0.0,784707.0,0.0,-0.050621999999999945,-0.052848000000000006
2025-06-13,474689.0,474689.0,0.0,784707.0,0.0,-0.050621999999999945,-0.052848000000000006
2025-06-16,474689.0,474689.0,0.0,784707.0,0.0,-0.050621999999999945,-0.052848000000000006
2025-06-17,474689.0,474689.0,0.0,784707.0,0.0,-0.050621999999999945,-0.052848000000000006
2025-06-18,474689.0,474689.0,0.0,784707.0,0.0,-0.050621999999999945,-0.052848000000000006
2025-06-19,474689.0,474689.0,0.0,784707.0,0.0,-0.050621999999999945,-0.052848000000000006
2025-06-20,474689.0,474689.0,0.0,784707.0,0.0,-0.050621999999999945,-0.052848000000000006
2025-06-23,474689.0,437777.0,36912.0,821619.0,0.0,-0.050621999999999945,-0.052848000000000006
2025-06-24,475397.0,437777.0,37620.0,821619.0,0.0014915028576605316,-0.04920599999999997,-0.05143200000000003
2025-06-25,475997.0,90612.0,385385.0,1168784.0,0.0012621030422994561,-0.04800599999999999,-0.050232000000000054
2025-06-26,473335.0,90612.0,382723.0,1168784.0,-0.005592472221463529,-0.05332999999999999,-0.05555600000000005
2025-06-27,477933.0,90612.0,387321.0,1168784.0,0.009714050302639832,-0.04413400000000001,-0.04636000000000007
2025-06-30,479143.0,90612.0,388531.0,1168784.0,0.0025317356198462093,-0.04171400000000003,-0.04394000000000009
2025-07-01,480837.0,480837.0,0.0,1168784.0,0.0035354789697439326,-0.03832599999999997,-0.04055200000000003
2025-07-02,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-03,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-04,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-07,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-08,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-09,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-10,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-11,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-14,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-15,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-16,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-17,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-18,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-21,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-22,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-23,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-24,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-25,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-28,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-29,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-30,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-07-31,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-08-01,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
2025-08-04,480837.0,480837.0,0.0,1168784.0,0.0,-0.03832599999999997,-0.04055200000000003
